,alert_id,type_of_alert,status,assigned_to,creation_date,resolution_date,impact_level,region,source
0,COMP-ALERT-10000,invoice_discrepancy,open,team_a,2024-10-24T22:01:15.792952,2024-10-28T22:01:15.792952,high,LATAM,Vendor_API
1,COMP-ALERT-10001,invoice_discrepancy,in_progress,team_c,2025-02-14T22:01:15.792952,2025-02-17T22:01:15.792952,high,BR,SAP
2,COMP-ALERT-10002,regulatory_review,open,external_partner,2025-04-11T22:01:15.792952,2025-04-14T22:01:15.792952,low,BR,Vendor_API
3,COMP-ALERT-10003,missing_document,in_progress,external_partner,2025-03-05T22:01:15.792952,2025-03-11T22:01:15.792952,low,BR,Vendor_API
4,COMP-ALERT-10004,tax_incident,open,external_partner,2025-10-11T22:01:15.792952,2025-10-15T22:01:15.792952,high,LATAM,SAP
5,COMP-ALERT-10005,missing_document,resolved,team_c,2025-02-16T22:01:15.792952,2025-02-23T22:01:15.792952,high,MEX,SAP
6,COMP-ALERT-10006,invoice_discrepancy,in_progress,external_partner,2024-12-17T22:01:15.792952,2024-12-29T22:01:15.792952,high,LATAM,Vendor_API
7,COMP-ALERT-10007,invoice_discrepancy,resolved,external_partner,2025-06-02T22:01:15.792952,2025-06-04T22:01:15.792952,medium,LATAM,Vendor_API
8,COMP-ALERT-10008,regulatory_review,in_progress,team_c,2025-10-06T22:01:15.792952,2025-10-15T22:01:15.792952,medium,MEX,Vendor_API
9,COMP-ALERT-10009,invoice_discrepancy,in_progress,external_partner,2025-01-26T22:01:15.792952,2025-02-07T22:01:15.792952,medium,BR,Internal_Tracker
10,COMP-ALERT-10010,invoice_discrepancy,in_progress,team_b,2025-09-04T22:01:15.792952,2025-09-07T22:01:15.792952,medium,BR,Internal_Tracker
11,COMP-ALERT-10011,regulatory_review,resolved,team_b,2025-09-06T22:01:15.792952,2025-09-18T22:01:15.792952,critical,MEX,Vendor_API
12,COMP-ALERT-10012,invoice_discrepancy,resolved,external_partner,2024-11-18T22:01:15.792952,2024-11-21T22:01:15.792952,medium,BR,SAP
13,COMP-ALERT-10013,invoice_discrepancy,open,team_c,2025-07-19T22:01:15.792952,2025-07-21T22:01:15.792952,high,LATAM,Internal_Tracker
14,COMP-ALERT-10014,regulatory_review,in_progress,team_b,2025-11-03T22:01:15.792952,2025-11-06T22:01:15.792952,medium,LATAM,SAP
15,COMP-ALERT-10015,invoice_discrepancy,in_progress,external_partner,2025-02-26T22:01:15.792952,2025-03-10T22:01:15.792952,critical,LATAM,Vendor_API
16,COMP-ALERT-10016,regulatory_review,in_progress,team_c,2025-06-01T22:01:15.792952,2025-06-15T22:01:15.792952,critical,MEX,SAP
17,COMP-ALERT-10017,tax_incident,open,external_partner,2024-11-12T22:01:15.792952,2024-11-16T22:01:15.792952,medium,MEX,SAP
18,COMP-ALERT-10018,tax_incident,open,team_a,2025-08-05T22:01:15.792952,2025-08-19T22:01:15.792952,critical,MEX,Internal_Tracker
19,COMP-ALERT-10019,invoice_discrepancy,resolved,team_b,2025-01-22T22:01:15.792952,2025-02-06T22:01:15.792952,high,LATAM,SAP
20,COMP-ALERT-10020,regulatory_review,resolved,team_b,2025-04-23T22:01:15.792952,2025-04-26T22:01:15.792952,low,MEX,Internal_Tracker
21,COMP-ALERT-10021,missing_document,resolved,team_a,2025-01-22T22:01:15.792952,2025-01-23T22:01:15.792952,high,MEX,Vendor_API
22,COMP-ALERT-10022,invoice_discrepancy,open,team_b,2025-05-06T22:01:15.792952,2025-05-11T22:01:15.792952,medium,MEX,Internal_Tracker
23,COMP-ALERT-10023,invoice_discrepancy,resolved,team_a,2025-08-07T22:01:15.792952,2025-08-08T22:01:15.792952,critical,LATAM,Vendor_API
24,COMP-ALERT-10024,missing_document,in_progress,team_b,2025-09-23T22:01:15.792952,2025-10-07T22:01:15.792952,medium,BR,SAP
25,COMP-ALERT-10025,tax_incident,open,team_a,2025-11-10T22:01:15.792952,2025-11-23T22:01:15.792952,critical,BR,Vendor_API
26,COMP-ALERT-10026,missing_document,open,team_b,2025-02-03T22:01:15.792952,2025-02-05T22:01:15.792952,critical,MEX,SAP
27,COMP-ALERT-10027,missing_document,in_progress,external_partner,2025-05-01T22:01:15.792952,2025-05-11T22:01:15.792952,low,BR,SAP
28,COMP-ALERT-10028,regulatory_review,open,team_a,2024-10-27T22:01:15.792952,2024-10-28T22:01:15.792952,critical,BR,Vendor_API
29,COMP-ALERT-10029,tax_incident,in_progress,team_c,2025-10-06T22:01:15.792952,2025-10-13T22:01:15.792952,medium,MEX,Vendor_API
30,COMP-ALERT-10030,regulatory_review,open,external_partner,2025-09-12T22:01:15.792952,2025-09-22T22:01:15.792952,low,BR,Internal_Tracker
31,COMP-ALERT-10031,regulatory_review,resolved,external_partner,2025-05-09T22:01:15.792952,2025-05-17T22:01:15.792952,high,BR,Vendor_API
32,COMP-ALERT-10032,tax_incident,in_progress,team_b,2025-03-05T22:01:15.792952,2025-03-12T22:01:15.792952,medium,LATAM,Internal_Tracker
33,COMP-ALERT-10033,regulatory_review,resolved,external_partner,2025-07-17T22:01:15.792952,2025-07-21T22:01:15.792952,medium,MEX,Internal_Tracker
34,COMP-ALERT-10034,invoice_discrepancy,resolved,team_c,2024-10-26T22:01:15.792952,2024-10-31T22:01:15.792952,low,BR,Internal_Tracker
35,COMP-ALERT-10035,missing_document,in_progress,team_b,2025-01-22T22:01:15.792952,2025-01-25T22:01:15.792952,medium,LATAM,Internal_Tracker
36,COMP-ALERT-10036,tax_incident,resolved,team_c,2024-12-03T22:01:15.792952,2024-12-17T22:01:15.792952,medium,BR,SAP
37,COMP-ALERT-10037,regulatory_review,open,team_b,2025-06-25T22:01:15.792952,2025-06-30T22:01:15.792952,low,LATAM,Internal_Tracker
38,COMP-ALERT-10038,regulatory_review,resolved,external_partner,2025-06-20T22:01:15.792952,2025-07-04T22:01:15.792952,low,LATAM,SAP
39,COMP-ALERT-10039,missing_document,resolved,team_b,2025-08-18T22:01:15.792952,2025-08-24T22:01:15.792952,critical,MEX,Internal_Tracker
40,COMP-ALERT-10040,tax_incident,resolved,external_partner,2025-04-19T22:01:15.792952,2025-04-23T22:01:15.792952,medium,LATAM,SAP
41,COMP-ALERT-10041,tax_incident,in_progress,team_c,2025-09-29T22:01:15.792952,2025-10-12T22:01:15.792952,medium,MEX,SAP
42,COMP-ALERT-10042,regulatory_review,open,team_c,2025-05-25T22:01:15.792952,2025-06-03T22:01:15.792952,low,MEX,Vendor_API
43,COMP-ALERT-10043,tax_incident,open,team_b,2025-03-07T22:01:15.792952,2025-03-15T22:01:15.792952,low,BR,Vendor_API
44,COMP-ALERT-10044,invoice_discrepancy,resolved,team_c,2025-08-28T22:01:15.792952,2025-09-09T22:01:15.792952,low,LATAM,SAP
45,COMP-ALERT-10045,invoice_discrepancy,resolved,external_partner,2025-05-02T22:01:15.792952,2025-05-16T22:01:15.792952,critical,LATAM,Internal_Tracker
46,COMP-ALERT-10046,regulatory_review,resolved,team_c,2025-10-01T22:01:15.792952,2025-10-14T22:01:15.792952,critical,BR,Internal_Tracker
47,COMP-ALERT-10047,missing_document,in_progress,team_a,2024-12-29T22:01:15.792952,2025-01-06T22:01:15.792952,medium,MEX,Vendor_API
48,COMP-ALERT-10048,tax_incident,resolved,team_a,2024-11-22T22:01:15.792952,2024-11-30T22:01:15.792952,critical,BR,Internal_Tracker
49,COMP-ALERT-10049,tax_incident,resolved,team_c,2024-12-01T22:01:15.792952,2024-12-06T22:01:15.792952,medium,LATAM,SAP
50,COMP-ALERT-10050,tax_incident,open,team_a,2025-04-21T22:01:15.792952,2025-04-23T22:01:15.792952,medium,LATAM,Internal_Tracker
51,COMP-ALERT-10051,missing_document,resolved,team_a,2025-05-26T22:01:15.792952,2025-06-08T22:01:15.792952,high,BR,Vendor_API
52,COMP-ALERT-10052,tax_incident,open,team_a,2025-10-09T22:01:15.792952,2025-10-22T22:01:15.792952,critical,BR,Internal_Tracker
